2033272	2033264	11227	9188	2033873	2033945
490728	490764	10646	3005	491373	492484
418881	418927	10920	4719	419484	420014
1766015	1766092	8264	13928	1766888	1766619
1168904	1170880	11594	1822	1171435	1173293
409578	409570	11220	9901	410228	410203
884299	884281	9206	9833	884971	884910
500859	500850	11320	9655	501467	501505
142076	142056	10658	9640	142696	142699
527564	527528	4095	6518	529055	528456
963000	962976	10467	9888	963623	963595
670252	670205	8303	9723	671040	670843
1223247	1223221	6332	7179	1224147	1224082
1746628	1746638	11627	4784	1747238	1747904
593213	593205	11052	7070	593811	594026
833168	833148	11006	9277	833767	833792
318339	318309	9203	11142	319036	318907
441688	441657	6282	9107	442584	442350
1571781	1571804	10152	7406	1572419	1572633
1411106	1411049	6277	9778	1412098	1411672
501360	501339	8984	9282	502064	502000
440490	440893	7687	10233	441755	441519
94872	94873	14345	9575	95410	95514
1130991	1130974	11578	10083	1131620	1131594
641045	640967	2384	9918	643043	641619
240050	240100	10529	4955	240701	241243
287054	287036	10751	9994	287676	287658
1516827	1516768	6987	10064	1517670	1517419
492853	492860	11118	8172	493443	493570
1243213	1243178	7942	9891	1243970	1243800
1131871	1131922	10843	5181	1132488	1133040
1983539	1983495	5138	6413	1984798	1984515
1083170	1083166	6241	5752	1084334	1084259
504587	504559	5891	10044	505610	505176
681063	681032	10578	9441	681696	681692
736898	736876	11125	10107	737511	737515
413769	413728	5201	9331	414983	414401
1456974	1456956	10801	9655	1457591	1457596
1159443	1159408	5710	9946	1160591	1160037
550885	550848	3997	4901	552390	552106
415937	415911	10811	9216	416552	416591
215780	217828	3559	5131	219383	218971
499985	499945	4498	8020	501292	500691
883951	883908	5433	9731	884971	884542
607812	607779	8533	9654	608515	608407
1931200	1931146	6995	8227	1932095	1931915
1193935	1196039	10639	7199	1196672	1196983
2045973	2046018	9212	1604	2046655	2048040
1650904	1650885	10753	10088	1651504	1651517
907687	907647	6419	9834	908585	908297
856072	856042	10422	9802	856696	856665
204459	205107	11062	9822	205728	205755
185903	185849	4729	10279	187267	186491
1576111	1576126	10990	5805	1576738	1577355
463729	463767	10993	4828	464364	464960
457087	457058	6618	8288	457906	457771
1434645	1434625	6206	6189	1435626	1435572
1157320	1157315	10099	10048	1157980	1157923
1818067	1818091	9203	4376	1818762	1819432
1036014	1036048	11036	3783	1036631	1037756
438892	438841	6764	9845	439904	439466
1354979	1354989	10635	3133	1355605	1356562
1674502	1674422	3608	10060	1676176	1675064
16325	16303	6127	6841	17451	17108
123951	123915	8094	9689	124718	124559
227853	227885	10947	3333	228467	229344
190563	190622	11155	4826	191152	191895
1052798	1052799	10458	7660	1053450	1053608
1804353	1804323	6643	8361	1805223	1805108
1043307	1043375	13079	9559	1043882	1044063
695321	695334	10702	4949	695935	696540
1709081	1709084	10936	7085	1709707	1709925
1780450	1780456	10683	7224	1781066	1781241
109294	109268	10672	10423	109924	109892
782569	782575	10500	7367	783189	783411
1635727	1635716	10619	7787	1636377	1636373
1279814	1279793	4111	5502	1281310	1281002
779419	779387	8589	8200	780110	780131
1408790	1408775	10507	9532	1409432	1409444
1943557	1943572	11374	5203	1944172	1944746
1563972	1563961	11421	9155	1564571	1564587
1390452	1392331	10216	5105	1393015	1393521
2007759	2007760	10814	7013	2008377	2008575
660419	660439	3886	10421	662056	661081
1364367	1364352	8825	6592	1365123	1365276
680420	680390	7336	9266	681238	681092
1508580	1508547	6206	9386	1509607	1509200
1897595	1897580	11569	9789	1898206	1898252
1749011	1748980	5347	9006	1750085	1749659
1322605	1321963	7513	7103	1323432	1323412
674974	674951	11166	9255	675559	675613
1141064	1141040	10592	9237	1141666	1141678
1787104	1787052	5501	9252	1788144	1787719
843882	843908	11015	4697	844516	845108
782875	782863	10516	7807	783495	783643
1902524	1902487	4988	7846	1903576	1903248
678303	678251	7603	9290	679178	678931
1091850	1091836	10137	9740	1092507	1092469
745735	747472	2940	9853	749419	748117
1776405	1776444	10988	4058	1777006	1777776
163657	163673	6496	3000	164582	165278
428833	428797	6000	7296	429887	429563
1394583	1394578	10694	9385	1395204	1395263
602699	602667	7678	9709	603432	603292
1318587	1318537	3131	7676	1320667	1319378
203637	203633	6246	3657	204596	205365
263859	263840	7695	9734	264643	264499
734819	734797	10759	8888	735426	735461
46680	46686	11024	7412	47298	47479
1179199	1179124	3815	6869	1180943	1179987
1250155	1250111	7578	10022	1250963	1250739
1115106	1115085	6206	6892	1116104	1115941
428355	428372	8679	4467	429076	429667
1761561	1761578	10738	4978	1762164	1762602
1659911	1659861	6147	9502	1660942	1660559
2011141	2011147	3830	3481	2012529	2012696
155136	155149	8571	5050	155865	156301
1975419	1975396	10981	11796	1976024	1975960
1930268	1930261	8008	5942	1931064	1931319
1943791	1943789	10951	7316	1944393	1944558
239671	239655	10539	10378	240281	240305
336396	336350	7235	10272	337226	336978
793045	793004	7309	9591	793916	793625
596291	596316	11470	4549	596903	597614
1832411	1832344	4188	11411	1834030	1832930
1309152	1309164	10869	6297	1309790	1310104
1683215	1683191	11050	9644	1683834	1683826
970321	970300	10984	9483	970945	970938
943869	943902	13237	3470	944425	945431
1020108	1020095	10897	9483	1020742	1020736
1775079	1775080	10964	7074	1775706	1775976
379639	379637	8929	6004	380327	380528
1366822	1366817	10463	9376	1367463	1367460
671990	671988	10803	7917	672596	672728
1659872	1659892	7184	3060	1660736	1661631
693380	693375	11017	9250	693999	694024
